Curated Labels,Curated Types
spexodisks_handle,string
pop_name,string
preferred_simbad_name,string
simbad_link,string
ra_dec,string
ra,string
dec,string
esa_sky,string
has_spectra,bool
f0point88mm_value,float
f0point88mm_err_low,float
f0point88mm_err_high,float
f0point88mm_ref,string
f1point3mm_value,float
f1point3mm_err_low,float
f1point3mm_err_high,float
f1point3mm_ref,string
dec_epochj2000_value,float
dec_epochj2000_err_low,float
dec_epochj2000_err_high,float
dec_epochj2000_ref,string
dist_value,float
dist_err_low,float
dist_err_high,float
dist_ref,string
l_star_value,float
l_star_err_low,float
l_star_err_high,float
l_star_ref,string
logl_acc_value,float
logl_acc_err_low,float
logl_acc_err_high,float
logl_acc_ref,string
logm_acc_value,float
logm_acc_err_low,float
logm_acc_err_high,float
logm_acc_ref,string
m_star_value,float
m_star_err_low,float
m_star_err_high,float
m_star_ref,string
ra_epochj2000_value,float
ra_epochj2000_err_low,float
ra_epochj2000_err_high,float
ra_epochj2000_ref,string
radial_velocity_value,float
radial_velocity_err_low,float
radial_velocity_err_high,float
radial_velocity_ref,string
spt_value,float
spt_err_low,float
spt_err_high,float
spt_ref,string
teff_value,float
teff_err_low,float
teff_err_high,float
teff_ref,string
is_jwst_target_value,float
is_jwst_target_err_low,float
is_jwst_target_err_high,float
is_jwst_target_ref,string
is_dsharp_target_value,float
is_dsharp_target_err_low,float
is_dsharp_target_err_high,float
is_dsharp_target_ref,string
